"RaceYearId","Event","Race","City","Country","Date","StartTime","Participation","Distance","ElevationGain","ElevationLoss","AidStations","Participants","lat","lon"
65861,"Loup Garou 100 Mile Trail Run","100M","VillePlatte","LA, United States","2019-12-14","00:00:00","solo",0,0,0,0,0,30.6879749,-92.2715157
58259,"La Misión  - VLA - Argentina","La Misión 160 VLA -","VillalaAngostura","Argentina","2019-12-12","09:00:00","solo",163.3,7240,-7240,1,100,-40.7627426,-71.6417984
43585,"Brazos Bend 100","100M","Needville","United States","2019-12-07","06:00:00","solo",162.3,2730,-2720,6,0,29.3994101,-95.8377297
43795,"Exodus Ultra Marathon","Exodus","Llanfechain","United Kingdom","2019-12-06","19:00:00","solo",170,6550,-6540,3,50,52.77471,-3.2045228
42239,"Ultra-Trail® Panoramic","100Miles","AmphurMuang","Thailand","2019-12-06","16:00:00","solo",157,6040,-6050,15,300,13.8649215,99.5896043
48423,"HK168","Full168","TaiMeiTuk","Hong Kong, China","2019-11-29","15:00:00","solo",168.8,10400,-10400,14,400,22.4728367,114.232961
47165,"Oman by UTMB","170km","Muscat","Oman","2019-11-28","19:30:00","solo",170.9,10570,-10490,25,100,23.5880307,58.3828717
30267,"Alpine Challenge","100 Mile Individual","BerrysCreek","Australia","2019-11-23","04:30:00","solo",155.3,6450,-6450,4,100,-38.41889,146.080755
46539,"Oman Desert Marathon","Oman Desert Marathon","Bidiyah","Oman","2019-11-16","06:30:00","solo",163,3120,-3590,13,99,22.4428429,58.8003292
46657,"Bhatti Lakes Ultra","160 Km","Faridabad","India","2019-11-08","14:00:00","solo",160.7,960,-960,0,20,28.4089123,77.3177894
58289,"Ozark Trail 100 Mile Endurance Run","100 Mi","Shawnee","United States","2019-11-02","06:00:00","solo",0,0,0,13,56,39.0228485,-94.7151865
52353,"GRAN VUELTA VALLE DEL GENAL","100 millas Valle del Genal","BENARRABA","Spain","2019-10-25","21:00:00","solo",162,7400,-7400,20,220,36.550621,-5.2759536
46241,"Jordan Running Adventure Race","165 km non stop","WadiRum","Jordan","2019-10-24","06:30:00","solo",165.2,2790,-2560,0,20,29.5742989,35.4210371
56729,"Rodopi Ultra Trail","Rodopi Advendurun","Haidou","Greece","2019-10-18","06:00:00","solo",162.9,6910,-6910,6,200,34.6413095,-82.7894556
48019,"Le Grand Raid De La Réunion","La Diagonale Des Fous","SaintDenis","France","2019-10-17","22:00:00","solo",168.1,9610,-9560,15,2900,48.936181,2.357443
50683,"Crimea X Run","Stage Race","Yalta","Ukraine","2019-10-16","10:00:00","solo",169.1,8310,-8140,11,200,44.4909462,34.1532687
